Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
DA Miller (SA/World),2010-2021,89,79,25,1716,101*,31.77,1222,140.42,1,4,0,116,76,
Umar Akmal (PAK),2009-2019,84,79,14,1690,94,26.00,1377,122.73,0,8,10,122,55,
KJ O'Brien (IRE),2008-2021,99,92,10,1674,124,20.41,1238,135.21,1,3,12,137,76,
AB de Villiers (SA),2006-2017,78,75,11,1672,79*,26.12,1237,135.16,0,10,5,140,60,
H Masakadza (ZIM),2006-2019,66,66,2,1662,93*,25.96,1418,117.20,0,11,1,151,65,
AD Hales (ENG),2011-2019,60,60,7,1644,116*,31.01,1203,136.65,1,8,4,175,55,
MS Dhoni (INDIA),2006-2019,98,85,42,1617,56,37.60,1282,126.13,0,2,1,116,52,
MN Samuels (WI),2007-2018,67,65,10,1611,89*,29.29,1386,116.23,0,10,0,144,69,
Q de Kock (SA),2012-2021,54,54,5,1605,79*,32.75,1163,138.00,0,9,3,162,64,
SK Raina (INDIA),2006-2018,78,66,11,1605,101,29.18,1190,134.87,1,5,3,145,58,
Shakib Al Hasan (BDESH),2006-2021,79,78,10,1604,84,23.58,1289,124.43,0,9,5,166,35,
Mahmudullah (BDESH),2007-2021,92,84,18,1560,64*,23.63,1268,123.02,0,4,2,125,49,
KL Rahul (INDIA),2016-2021,49,45,6,1557,110*,39.92,1095,142.19,2,12,4,138,63,
F du Plessis (SA/World),2012-2020,50,50,7,1528,119,35.53,1137,134.38,1,10,0,140,50,
LMP Simmons (WI),2007-2021,66,65,10,1508,91*,27.41,1222,123.40,0,9,6,140,68,
DPMD Jayawardene (SL),2006-2014,55,55,8,1493,100,31.76,1121,133.18,1,9,4,173,33,
Ahmed Shehzad (PAK),2009-2019,59,59,2,1471,111*,25.80,1282,114.74,1,7,2,157,33,
SR Watson (AUS),2006-2016,58,56,6,1462,124*,29.24,1006,145.32,1,10,3,115,83,
Shahid Afridi (ICC/PAK),2006-2018,99,91,12,1416,54*,17.92,944,150.00,0,4,8,103,73,
Mohammad Nabi (AFG),2010-2021,81,75,11,1396,89,21.81,958,145.72,0,4,4,87,83,
KJ Coetzer (SCOT),2008-2019,58,56,2,1386,89,25.66,1136,122.00,0,6,3,144,45,
KC Sangakkara (SL),2006-2014,56,53,9,1382,78,31.40,1156,119.55,0,8,2,139,20,
KA Pollard (WI),2008-2021,86,70,15,1365,75*,24.81,985,138.57,0,6,2,80,93,
MDKJ Perera (SL),2013-2021,50,49,0,1347,84,27.48,1013,132.97,0,12,0,124,48,
Asghar Afghan (AFG),2010-2021,72,66,5,1341,62,21.98,1217,110.18,0,4,5,83,67,
E Lewis (WI),2016-2021,45,43,2,1283,125*,31.29,801,160.17,2,9,4,93,101,
Mushfiqur Rahim (BDESH),2006-2020,86,77,13,1282,72*,20.03,1068,120.03,0,5,5,110,33,
